formula,target
LiCu2Pd,1.7531265824999998
Sc2AgPb,1.8731818850000002
MnCdRh2,2.3582664612500004
ZrCu2Au,2.1536609474999997
MgSbRh2,2.0428709362500004
CdSbRh2,1.9328910074999999
Y2PtPb,1.5771438025000002
YAlCu2,2.0231029925
ZnGeIr2,2.4227670050000003
HfPdAu2,1.9032444962500001
Ga2CoIr,2.0925568450000003
Y2HgPt,1.5422449499999997
NaAgPd2,1.69422463875
YCdCu2,1.71363508625
CaYCd2,1.531281935
ZrScTl2,2.2976559825
MnCuPt2,2.2267423200000005
HfSnPd2,1.876519860000001
ZrInCo2,2.3891885616666664
NaSnRh2,2.0440197700000002
Y2GaAg,2.0437410524999997
Y2CuOs,2.4729922812500007
Li2ScTl,1.6263652337499996
ZnGeRh2,1.90444938
Sc2InGa,2.010897261666667
LiY2Pd,1.8756776274999996
AlSiNi2,1.9297494524999994
CuSnPd2,1.6400939112500006
TiAlIr2,2.290090368333334
YMgCu2,1.8686919550000005
Sc2TlOs,2.339967345
ZrGaRh2,1.8261199525
LiY2Co,2.203045675
Sc2InAu,1.7577059941666664
ScTlCu2,1.7739425737499994
Sc2ZnAg,2.06202778625
HfCdAu2,1.5623066975000004
HfZnRh2,1.862185479999999
Y2AgRh,1.7615534650000004
CaLaCu2,1.7414304225000001
BePt2Au,2.13046934125
Be2CoAu,2.0900229149999996
YScAg2,2.0595918125
Be2CuPd,1.9066465025000001
MgCdRh2,2.11731070125
Sc2AlGa,2.2208459025000002
AlGaCo2,2.1770579100000007
MgBiRh2,2.1549544162499994
Y2CdPb,1.8226135762500002
LiCrRh2,2.3326850875
Y2HgPb,1.6924604574999997
La2CdAg,1.9281446537500002
Y2TlIn,1.9738137704166672
MgTiCu2,2.111094733333333
YHfPd2,2.08723517375
AlCuRh2,2.3899876950000003
LiAl2Co,1.923696155
Y2HgAu,1.6488362499999996
ZrScPt2,1.8393405725000003
NiGeRh2,2.4743541437500003
ZnSiIr2,2.3707078637500003
Zn2IrRh,2.4407852975
La2CdHg,1.8055851937499998
ZrScZn2,2.4587117725
HfCuRh2,2.3152811137500002
La2AgAu,1.6313116374999996
HfTiAu2,2.2970414120833333
LiZrCu2,2.1783081300000005
Y2NiRh,1.9315810424999995
Y2AlCu,2.3804615749999996
AlGaIr2,2.3685786175
Sc2AgSn,1.8547509512500007
YCdRh2,1.7956994787499996
Y2AlTl,2.1765840512499994
Sc2ZnHg,1.89277653125
Y2MgHg,2.0329750025
MnPdAu2,1.5793297650000007
Y2BePd,2.2452306062500003
Y2ZnAg,2.09659657125
MgFePt2,1.8849390974999998
YScAu2,1.5480749024999998
Y2MgTl,2.11972181625
Y2TlHg,1.81922378875
HfMgHg2,1.70393450125
ScCo2Ge,2.343435543750001
ZnCrRh2,2.30567542125
Y2PdRh,1.6136911925000001
YHfRh2,2.108552488750001
Y2ZnOs,2.4353662325
Y2RuPt,1.91827093875
LiY2Ag,2.1482639499999996
Mg2ZnIr,1.83970314125
LaAg2Au,1.5443212924999998
YScCu2,2.2811549775
ScInCo2,2.2024091291666665
AgSnRh2,2.2736289787499997
Mg2CuRh,1.7256499375
Sc2PtRh,1.5401001675000003
Cu2PdPt,2.38221073
Y2GaHg,1.85424589
LiBe2Au,1.5295148850000002
Ti2IrPd,2.438018716666666
LaYIr2,1.6636047225000006
GaReGe2,2.3378125831250003
Mg2CuIr,1.9771650900000002
Zr2PtAu,2.314354277499999
ZrZn2Pt,2.1970058525
MgCuPd2,1.7725586075000002
ZrZnCo2,2.35586641125
Sc2AlPt,1.8700451599999997
MgScIn2,1.5929256908333331
YSbRh2,1.8294299837499999
Sc2GaPd,1.8283590449999996
GaCoRh2,2.4883682224999997
CuHgPd2,1.6795898525
Ga2RuPt,1.8176470837499998
Y2CuPt,1.7814871275000002
Y2AlCd,2.18948257625
ZrScAu2,1.9589585299999999
MgScIr2,2.238249205
La2InGa,1.8351137966666666
HfScHg2,2.2330056362499997
Al2TcAu,1.9082588999999994
Sc2InPt,1.6775099666666664
La2ZnCd,1.9739736450000003
Y2GaPb,1.8854446475
Sc2CdGa,1.99244193375
Sc2CdPt,1.63312057625
Zn2NiPt,1.7425941949999997
Y2SnPd,1.6700380062499995
Sc2InRu,2.081398387916666
YScAl2,2.4088949825
TaGaRh2,2.3644821425
ScGa2Ir,2.1379397549999997
ZnInRh2,2.0314156579166665
Y2SiPd,1.7912642575
YZrAu2,1.9421771749999999
CaScRh2,1.6014047174999995
TiCdRh2,1.7649855045833336
Y2TcPd,2.307635539999999
LiBe2Rh,2.0492613025
MgScNi2,1.7533260825000005
Be2FePt,2.3674808725
HfMgZn2,2.0854657562499996
LiHfHg2,1.63173886625
CaScIn2,1.626779760833333
CaYZn2,1.68955942
MgSc2Ir,2.024059940000001
TcGe2Rh,2.3568071225000002
HfCo2Sb,2.4960036875
CaYIn2,1.647776888333333
CaSbRh2,1.9461091737499991
HfMgCu2,2.4026652812500005
LaZrAu2,1.8505337474999997
ZrScCd2,2.3707782199999996
LiGa2Co,1.5728196900000002
MgAlNi2,1.9544049774999994
Be2NiPd,2.1505668449999997
Be2CdPt,1.6750215362499996
Zn2IrPd,2.0208668275
BeCrPt2,2.19981517125
MgZnPt2,1.55689606875
Zr2PdAu,2.464920312499999
AgPd2Pb,1.55550063
Y2MgOs,2.49715919125
MgTiNi2,2.093303563333333
Sc2CoCu,2.183136905
La2BeGe,2.082511245
LaScTl2,1.8213536449999999
Zn2AgRh,1.55498934
ZrBeRh2,2.2609944737499994
Be2ZnPt,1.7295798012500003
Sc2CdHg,1.8180728862499997
HfGaAu2,1.6914922337499996
MgZrPt2,1.5714836724999999
TiCu2Au,2.0149759908333333
Sc2AlAu,1.9855612474999993
Y2BeIr,2.382134938750001
CdCuPd2,1.7415799087500003
Y2MgPb,1.9938325425000003
Sc2AlTl,2.1689648012499996
YGaAg2,1.6117418375000003
CuSbPd2,1.7163213837500004
BeInPt2,1.5953025029166668
Sc2ZnRh,1.7998476237500003
Al2TcPd,2.1657165649999994
GaCuNi2,2.0738927100000004
La2MgAl,2.2224010025000007
ZrGeRh2,2.028895283749999
LiBeCu2,1.6677796437499999
HfCu2Au,2.2360121587499995
LiSc2Hg,1.9428044324999998
Y2MgZn,2.2285980587500003
Be2IrAu,2.1477244025
TiZn2Pt,1.985819170833333
HfScTl2,2.4143988787500006
BeAlPt2,1.6222641212500006
Be2CuNi,2.2428921749999997
MgScCu2,1.8707495549999997
Sc2CdOs,2.2679242025
Y2GaPd,1.7994250299999996
MgCo2Sn,2.23802653625
MgCo2Si,2.2618629399999994
YScTl2,1.932532225
ZnGaCo2,2.0765974537500003
CdPd2Au,1.59300134625
Y2AgOs,2.3085651812500005
Y2NiPt,1.7463650499999996
La2MgHg,2.1518352800000002
IN5,1.883853039683333
MoW11,1.8092655014583343
KAlN4,1.6667781945800002
CuC2(SN3)2,1.69080347273591
Ni(N4O3)2,2.0183638408973326
TiAu2,1.6768238877777772
CaGa2,1.8940406233333331
Ta2OsSe6,1.6221148637152782
Zr,1.8173961049999994
TeC6(I3N)2,1.5690411591826674
TeC16(I2N)2,1.933480133271304
TbFe2,1.5445617005555548
U2Zn17,1.532319872368421
Ru(IN3)2,1.590225114524445
Y3H,2.016996491595
Pd5(N9Cl5)2,1.5525521227139396
MnC8(Br2N)2,1.5706295520160003
MoP4C13O2,1.6445468510089298
Mg2Si,2.47119296
K2SnN6,1.9059500683022226
K2Re,1.587177894388889
Cu(BrN3)2,1.9704332117466679
Cu(BrN3)2,1.7666639450800008
CdCN2,2.3795170303725
CdCN2,1.6193272203725
BrN,1.8525640063100002
C2NCl,1.6305307667150002
C3IN,1.7046618052740001
Bi2Pd3S2,2.120610231696429
Cr2As,2.3824357133333343
C,1.5246755692500003
Nb3Al2N,2.402375695198573
FeBiO3,1.6481258062499997
C(N2O)2,1.542930413818571
AgCNO,2.028279054405
AgC,2.2405846756249996
AuC,1.8745169981250003
CdC,1.987254235625
CsNp3,1.6315580843857749
CsNp3,2.1394175218857754
HgC,2.296831218125
Rb3Re,1.587434120366379
Rb3W,1.584328412866379
RbNp3,1.645195330851294
RbU3,1.6011617799137943
RbNp3,1.6463611558512934
TlC,1.9800124681249995
PtC8(NCl3)2,1.9989438862164712
ZrC8(NCl3)2,1.653709794451766
AgC4NCl2,1.633902593887501
Cd(I3N2)2,1.5805923464072729
Ir(N3O4)3,2.1697742478899986
C,1.9192538136637938
SrRuO3,1.9866737347499999
Pd(CN2)2,1.790507475782857
NaYbN4,1.827295224038334
C,1.5977757060576925
SnC8(NCl3)2,1.759512099745883
Zn(I3N2)2,1.5414051644375761
Pd5(N9Cl5)2,1.5291594418048482
C6I3N4,1.5798529629215385
VS4N3,1.6260016264512496
Cu(IN3)2,2.4995497873022234
Cu(IN3)2,2.4526859306355564
Nd2ZnSb3,1.9700809391666665
Sr2(AsIr)3,1.7500277068750005
Pr2CuAs3,2.325650875833333
Y2AgSb3,2.2769199925000003
Nd2CdSb3,1.9183786591666667
Pr2(GeIr)3,2.0548969543749998
Pr2Sb3Au,2.2648285141666666
Tb2ZnSb3,2.0500418305555552
Sm2As3Au,2.289134581666667
Nd2Sb3Au,2.28388973
La2CdSb3,1.8213361183333336
Pr2As3Au,2.240385815833333
La2AgBi3,2.1339342658333336
Er2CuAs3,2.4648081108333337
Sm2AgSb3,2.23639583
Pr2AgSb3,2.1857466341666667
Ce2(CuSn)3,1.769868545625
Sm2MnSb3,2.45592946
Pr2ZnSb3,1.9545000049999999
La2AgSb3,2.116386514166667
Pr2MnSb3,2.4086519158333335
Sm2ZnSb3,1.9917750708333335
Pr2CdSb3,1.8925406233333335
Er2AgSb3,2.3091217908333332
Tb2AgSb3,2.2716706380555554
Yb2CuSb3,2.1202445574999995
Pu2(SiPt)3,1.6303063520312495
TlN,1.5970390463100004
Dy2AgSb3,2.288824759166667
SrHf3N6,1.9406587640720006
Ho2CuSb3,2.461814394166667
Tb2As3Au,2.3474142663888884
La2Sb3Au,2.187632815833333
Tm2AgSb3,2.3189543808333335
ZrBRh3,1.8488052746666654
La2ZnSb3,1.8604522366666665
